channel_id,channel_name,priority_score,simulated_tier,recent_video_count_48h,recent_video_count_7d,ranking_count_7d,ranking_count_30d,estimated_daily_refreshes,estimated_weekly_refreshes,risk_flag,reason_summary
UCvdGYpTcosx7eIuXZhs4riQ,UCvdGYpTcosx7eIuXZhs4riQ,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCZEHWjZpMMhZVM4QPaB4xkw,UCZEHWjZpMMhZVM4QPaB4xkw,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UC7usDKymovMSPqCg--kNO1Q,UC7usDKymovMSPqCg--kNO1Q,20,active,0,0,0,6,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCsBbRTlhbHeDdzKxAT0U89Q,UCsBbRTlhbHeDdzKxAT0U89Q,20,active,0,0,0,6,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCvv1Ou0jHk3jD5hxYJJgyiA,UCvv1Ou0jHk3jD5hxYJJgyiA,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCj3WDrTeNUlGQaqp5ICWRSg,UCj3WDrTeNUlGQaqp5ICWRSg,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCPUh2V-c25EB5t-w2cioXXA,UCPUh2V-c25EB5t-w2cioXXA,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCEazK0zQwlqyf57PUFZpJvg,UCEazK0zQwlqyf57PUFZpJvg,20,active,0,0,0,6,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UClcMHz6g52n0tmZ8QFt8uCA,UClcMHz6g52n0tmZ8QFt8uCA,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UC_T8F2CvqZOwa2kme0WwRhg,UC_T8F2CvqZOwa2kme0WwRhg,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCag0iZHAsWKj4llltQUMK4w,UCag0iZHAsWKj4llltQUMK4w,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UC6THVNFuKuE-KgBLlz1CnAA,UC6THVNFuKuE-KgBLlz1CnAA,20,active,0,0,0,6,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCPz8Qzmvi4JzA0MM62aoTJg,UCPz8Qzmvi4JzA0MM62aoTJg,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
